date,strategy_nav,benchmark_nav,premium_pct,sigma_used
2023-02-02,1.0,1.0,,
2023-02-14,0.9926357214944217,0.9900667366126465,0.002568984881775105,0.1651513153634217
2023-02-27,0.9594006846382868,0.9542925152517692,0.0026515366530366164,0.16699727122388114
2023-03-09,0.946908604200899,0.9394884570371713,0.0024924116493795115,0.16342105486794326
2023-03-21,0.9703432764006048,0.9607766469563582,0.002089268829225739,0.15398484758344705
2023-03-31,0.9992181094008582,0.9860176960112796,0.0034858325590923942,0.1847269635413733
2023-04-13,1.0128254024723051,0.995844286801797,0.0036520032523470235,0.18809415157731751
2023-04-25,0.9964176423493638,0.9780454318053882,0.0016731418539297099,0.14351241160390207
2023-05-05,1.0131327463583493,0.9938212597643141,0.0006452446336395498,0.11120358626622488
2023-05-17,1.021067326336792,1.0000833930064283,0.0015306619911472836,0.13970040064704503
2023-05-30,1.0348512903112324,1.0120054532440532,0.001578498144919334,0.14099540578692962
2023-06-09,1.0599904512061684,1.0354160679255566,0.001159640908671946,0.1290187655441512
2023-06-22,1.0810441865638891,1.0552416256842498,0.0007147623725668652,0.11393069910938945
2023-07-05,1.0982677620642574,1.0712451188480525,0.0007666366247188734,0.11588211640836114
2023-07-17,1.1176885074486689,1.0898835706511447,0.0002842022731562468,0.09358492471071539
2023-07-27,1.1222016645402264,1.0938724978364913,0.0003779810078497186,0.0989730371027225
2023-08-08,1.113065436956129,1.084831133756639,0.00012412226447436014,0.08112067211515218
2023-08-18,1.083080552650688,1.0552174271626413,0.00035897434920715513,0.09794698667264573
2023-08-30,1.1159658470114695,1.0902944860528834,0.0003627410540235104,0.09815265722726026
2023-09-12,1.1048324603596518,1.0781587743111865,0.0011542150915433177,0.1288525486949186
2023-09-22,1.0709496671335048,1.0441895635605185,0.0008388756016119981,0.11849702174300174
2023-10-04,1.0576990633549943,1.030215912840601,0.0010095324945250006,0.12428512188117123
2023-10-16,1.0869129183890447,1.0578235926243214,0.0008222405093787852,0.11790465182454321
2023-10-26,1.0295247966977157,1.0008373760562828,0.0010720007784245592,0.12629058137911092
2023-11-07,1.0618093005624225,1.05998262147945,0.0013586462106226006,0.13490123381886449
2023-11-17,1.095742555609047,1.0936066969868017,0.0019579561307765387,0.15077282810492568
2023-11-30,1.1116434123021885,1.1072164509513964,0.002066655448072666,0.15343711588172973
2023-12-12,1.1311180508218706,1.1258965609689027,0.000647545952790036,0.11129612455293957
2023-12-22,1.159228823624034,1.153723252688697,0.00013706016520201992,0.08240825160885457
2024-01-05,1.1455101281233706,1.139766372463185,0.00026292220681785024,0.09222686765165392
2024-01-18,1.166935756305016,1.1606410433422323,0.00038913769841272507,0.09956219555585316
2024-01-30,1.2024815746895126,1.1957168004132739,0.0004608185947173768,0.10314693228000331
2024-02-09,1.2280832514707825,1.220830118031352,0.00028797150825649997,0.09381933674113568
2024-02-22,1.2442377335178,1.2361757330333327,0.0005844037539076818,0.108694227905957
2024-03-05,1.2451896561519078,1.2353963262202696,0.0013955633065481842,0.13595135297842667
2024-03-15,1.256624226714822,1.2457096442365514,0.0008348093834831495,0.1183527406655406
2024-03-27,1.290424371479006,1.2783042870667554,0.0007320535199369365,0.11458855852540081
