S,K,sigma,T,r,price,vega,theta,rho
100.0,100.0,0.05,1.1333333333333335,0.1,10.744697504144526,4.158380619220374,-8.861753870203469,99.39361537416758
100.0,100.0,0.05,1.35,0.0,2.3173193345261467,46.333353235635876,-0.8580250599191829,65.93580944919485
100.0,100.0,0.05,1.35,0.02,3.8608917700762078,41.032403097131926,-2.0611978455832736,87.84035070545606
100.0,100.0,0.05,1.35,0.04,5.794487614802264,29.278752256911694,-3.6348621132703927,104.37737616230595
100.0,100.0,0.05,1.35,0.06,7.987730178866116,16.833350610997822,-5.368535868353292,113.77816095003334
100.0,100.0,0.05,1.35,0.08,10.304848828919802,7.797959321435023,-7.083957570044509,117.10492170655264
100.0,100.0,0.05,1.35,0.1,12.646943193924997,2.91060823267721,-8.696051933945732,116.66904905009807
100.0,100.0,0.05,1.5666666666666667,0.0,2.496304168498007,49.90979017842767,-0.7964328219961863,76.37789506800989
100.0,100.0,0.05,1.5666666666666667,0.02,4.301816620674543,43.346119319037676,-2.0109018802057097,103.3379981339835
100.0,100.0,0.05,1.5666666666666667,0.04,6.578242864299099,29.298915825840503,-3.6008464709726553,122.7213310552787
100.0,100.0,0.05,1.5666666666666667,0.06,9.145856977415619,15.413090479345191,-5.32158912766574,132.5304839671005
100.0,100.0,0.05,1.5666666666666667,0.08,11.829256911348054,6.310514304389346,-6.986535229483583,134.84761252393182
100.0,100.0,0.05,1.5666666666666667,0.1,14.512572962213099,2.0108359131505633,-8.524546271054959,133.0485159349067
100.0,100.0,0.05,1.7833333333333334,0.0,2.6632728607811416,53.24567055946922,-0.7464346340112507,86.79191503247014
100.0,100.0,0.05,1.7833333333333334,0.02,4.733010864072057,45.350286643540244,-1.9707518441457457,119.03751446523705
100.0,100.0,0.05,1.7833333333333334,0.04,7.355201634461864,29.037356723718265,-3.5716885912733205,141.0894350752783
100.0,100.0,0.05,1.7833333333333334,0.06,10.293612328022576,13.97704718271216,-5.272731211945315,150.8935191400224
100.0,100.0,0.05,1.7833333333333334,0.08,13.332003067746697,5.057723582739075,-6.884330019273427,151.88265139336417
100.0,100.0,0.05,1.7833333333333334,0.1,16.340767757443956,1.3758657425138607,-8.350978122220662,148.58181007730667
100.0,100.0,0.05,2.0,0.0,2.8203603304328055,56.38370752283637,-0.7047963440354545,97.1796396695672
100.0,100.0,0.05,2.0,0.02,5.156323313961266,47.09563130275087,-1.937756089204562,134.90606979201763
100.0,100.0,0.05,2.0,0.04,8.126177935207295,28.564944323640436,-3.545372760368105,159.41554781612996
100.0,100.0,0.05,2.0,0.06,11.430558679289305,12.580905689332717,-5.221826895503736,168.81885247956924
100.0,100.0,0.05,2.0,0.08,14.81224845814566,4.023612951125565,-6.779090218197352,168.21987640770703
100.0,100.0,0.05,2.0,0.1,18.131347085462835,0.934428882723812,-8.177614882876762,163.3186904368543
100.0,100.0,0.07894736842105263,0.05,0.0,0.7042503749968176,8.920273091058553,-7.042320861362016,2.4823937406250796
100.0,100.0,0.07894736842105263,0.05,0.02,0.7550024687207468,8.90152061060654,-8.064619328275901,2.5927576418610587
100.0,100.0,0.07894736842105263,0.05,0.04,0.8079571598194164,8.854349293870058,-9.152350607281909,2.702593561204302
100.0,100.0,0.07894736842105263,0.05,0.06,0.863100311653163,8.779211188133752,-10.304809976165423,2.811544812505998
100.0,100.0,0.07894736842105263,0.05,0.08,0.9204107259349712,8.676823023893524,-11.520943399616844,2.9192624748130647
100.0,100.0,0.07894736842105263,0.05,0.1,0.9798603310347218,8.548154832563846,-12.79936062447521,3.0254086678045082
100.0,100.0,0.07894736842105263,0.26666666666666666,0.0,1.6263050669447168,20.597011172582683,-3.0488996801520423,13.116492657740705
100.0,100.0,0.07894736842105263,0.26666666666666666,0.02,1.9017942359376718,20.367128900467513,-4.097021079543937,14.428667002645552
100.0,100.0,0.07894736842105263,0.26666666666666666,0.04,2.2032246198321133,19.798070730074585,-5.28665882248091,15.70682235045702
100.0,100.0,0.07894736842105263,0.26666666666666666,0.06,2.5296944400247696,18.918355537549118,-6.609475421325124,16.92915977913929
100.0,100.0,0.07894736842105263,0.26666666666666666,0.08,2.879889753272437,17.770978712077888,-8.053499313655557,18.076422689778337
100.0,100.0,0.07894736842105263,0.26666666666666666,0.1,3.2521441955277623,16.40993127831821,-9.603881614815151,19.132746520872686
100.0,100.0,0.07894736842105263,0.48333333333333334,0.0,2.1893570199389814,27.724894513712908,-2.264283580974738,23.637572053514745
100.0,100.0,0.07894736842105263,0.48333333333333334,0.02,2.6935277560564543,27.166586089153995,-3.3261233420322593,26.76305208104585
100.0,100.0,0.07894736842105263,0.48333333333333334,0.04,3.2588902896299246,25.806477938746177,-4.568898417762979,29.740603529469816
100.0,100.0,0.07894736842105263,0.48333333333333334,0.06,3.8815645646699863,23.76571656740824,-5.973025744728694,32.480700874446484
100.0,100.0,0.07894736842105263,0.48333333333333334,0.08,4.556060043684866,21.217860875077715,-7.511536855995468,34.91286259073471
100.0,100.0,0.07894736842105263,0.48333333333333334,0.1,5.27570927257004,18.364571031939185,-9.153017991352783,36.99041418243966
100.0,100.0,0.07894736842105263,0.7000000000000001,0.0,2.634618886083693,33.35970787485481,-1.881186534296324,34.07788338987071
100.0,100.0,0.07894736842105263,0.7000000000000001,0.02,3.36995435836036,32.39119408900548,-2.9527000343326026,39.41451286807766
100.0,100.0,0.07894736842105263,0.7000000000000001,0.04,4.208740585634615,30.069156091696932,-4.231842222741672,44.383729596962546
100.0,100.0,0.07894736842105263,0.7000000000000001,0.06,5.141443356710894,26.687327324811836,-5.6857364708655975,48.77613997272242
100.0,100.0,0.07894736842105263,0.7000000000000001,0.08,6.154961247483826,22.64532129269862,-7.270980547539253,52.447401521544805
100.0,100.0,0.07894736842105263,0.7000000000000001,0.1,7.2340599220066935,18.37136615275949,-8.940155138562076,55.32923090963473
100.0,100.0,0.07894736842105263,0.9166666666666667,0.0,3.014741419668937,38.168547104984874,-1.6436216456692052,44.45157684931841
100.0,100.0,0.07894736842105263,0.9166666666666667,0.02,3.983072705382483,36.72399370094609,-2.722538933088889,52.30146791821558
100.0,100.0,0.07894736842105263,0.9166666666666667,0.04,5.102044859082795,33.31538191307745,-4.028449679277731,59.441616858700534
100.0,100.0,0.07894736842105263,0.9166666666666667,0.06,6.35343769659174,28.49642010133314,-5.513879592218498,65.49218229982952
100.0,100.0,0.07894736842105263,0.9166666666666667,0.08,7.712938269473796,22.98192640484997,-7.118772496059159,70.22950186582864
100.0,100.0,0.07894736842105263,0.9166666666666667,0.1,9.153474579325987,17.475643273844515,-8.781669814274835,73.60035972451051
100.0,100.0,0.07894736842105263,1.1333333333333335,0.0,3.3519593870813225,42.433165440931056,-1.477935328824998,54.76722301398726
100.0,100.0,0.07894736842105263,1.1333333333333335,0.02,4.554717034063273,40.4565888718323,-2.562741674005963,65.3734975255812
100.0,100.0,0.07894736842105263,1.1333333333333335,0.04,5.9589316743482215,35.86615036669008,-3.888923518559828,74.79193902364572
100.0,100.0,0.07894736842105263,1.1333333333333335,0.06,7.534436943900715,29.565956866960917,-5.393574288240096,82.42733803206087
100.0,100.0,0.07894736842105263,1.1333333333333335,0.08,9.242142676154373,22.6626548384043,-7.000468237047012,87.99106901904109
100.0,100.0,0.07894736842105263,1.1333333333333335,0.1,11.040367446021023,16.15255769633985,-8.63665559370477,91.50608711167784
100.0,100.0,0.07894736842105263,1.35,0.0,3.6581572553154516,46.30417746651076,-1.3539233177342325,65.03074385266207
100.0,100.0,0.07894736842105263,1.35,0.02,5.096491618802858,43.746525087625656,-2.44351070125201,78.5951465036706
100.0,100.0,0.07894736842105263,1.35,0.04,6.789797266007497,37.90004059062722,-3.7851626423388014,90.34788333292086
100.0,100.0,0.07894736842105263,1.35,0.06,8.692558241027825,30.109844650474344,-5.300035545776984,99.44169145730166
100.0,100.0,0.07894736842105263,1.35,0.08,10.747497227625018,21.935628413024947,-6.896653555339062,105.55752788465675
100.0,100.0,0.07894736842105263,1.35,0.1,12.896127632393913,14.654276191564666,-8.493295922316625,108.87491224407785
100.0,100.0,0.07894736842105263,1.5666666666666667,0.0,3.940572833681024,49.873320224836846,-1.2566066126078712,75.2465512802832
100.0,100.0,0.07894736842105263,1.5666666666666667,0.02,5.615423203279022,46.69079031422901,-2.350116570091259,91.93958903695976
100.0,100.0,0.07894736842105263,1.5666666666666667,0.04,7.600750744770892,39.53010332871033,-3.703494779755101,106.04357515023345
100.0,100.0,0.07894736842105263,1.5666666666666667,0.06,9.832204927214178,30.2662388403044,-5.221701112879915,116.43241871037763
100.0,100.0,0.07894736842105263,1.5666666666666667,0.08,12.231142262002692,20.95669250762161,-6.799199834823832,122.81052348851306
100.0,100.0,0.07894736842105263,1.5666666666666667,0.1,14.720662138848311,13.122627717293156,-8.348169554498186,125.60800506189095
100.0,100.0,0.07894736842105263,1.7833333333333334,0.0,4.2040017965685905,53.20138442829349,-1.177600737468375,85.41809839805968
100.0,100.0,0.07894736842105263,1.7833333333333334,0.02,6.116140619545845,49.354349639080674,-2.274341402036912,105.38554107817598
100.0,100.0,0.07894736842105263,1.7833333333333334,0.04,8.395691987670403,40.83407938038547,-3.636418587190997,121.82687315004277
100.0,100.0,0.07894736842105263,1.7833333333333334,0.06,10.955950854608062,30.131096730518,-5.1525245888727405,133.32139088165164
100.0,100.0,0.07894736842105263,1.7833333333333334,0.08,13.694005635411528,19.829051757411296,-6.704416664403764,139.66854988650599
100.0,100.0,0.07894736842105263,1.7833333333333334,0.1,16.513494416848857,11.638145668712006,-8.200671601436259,141.65130535638485
100.0,100.0,0.07894736842105263,2.0,0.0,4.45181593989868,56.33111638218878,-1.1117983496484625,95.54818406010132
100.0,100.0,0.07894736842105263,2.0,0.02,6.60187922456916,51.78338233952454,-2.211195872618414,118.91554317067454
100.0,100.0,0.07894736842105263,2.0,0.04,9.177259080296395,41.86859236163471,-3.5794598812559033,137.6553042322346
100.0,100.0,0.07894736842105263,2.0,0.06,12.065377259090141,29.774343649423262,-5.089091931149951,150.04801372511463
100.0,100.0,0.07894736842105263,2.0,0.08,15.136455962430531,18.623097788222317,-6.610583489184263,156.07555871568107
100.0,100.0,0.07894736842105263,2.0,0.1,18.27414143737076,10.24513159974434,-8.051173640595405,156.97934191727217
100.0,100.0,0.10789473684210527,0.05,0.0,0.9624646676499751,8.919971558183951,-9.62417983909321,2.4759383833087507
100.0,100.0,0.10789473684210527,0.05,0.02,1.0127848817283436,8.907857438887271,-10.633529724983577,2.5560509575656414
100.0,100.0,0.10789473684210527,0.05,0.04,1.0647049521397562,8.880489754989858,-11.690301448252603,2.635900496020223
100.0,100.0,0.10789473684210527,0.05,0.06,1.1182182112674752,8.838009181810133,-12.794162608011192,2.7153465493467066
100.0,100.0,0.10789473684210527,0.05,0.08,1.173315199339413,8.780633504369865,-13.944642164882707,2.794250470170696
100.0,100.0,0.10789473684210527,0.05,0.1,1.2299837075412157,8.708655757606085,-15.141133447091836,2.8724761174689513
100.0,100.0,0.10789473684210527,0.26666666666666666,0.0,2.2224833703633635,20.59329814955712,-4.166078408545274,13.037002217284886
100.0,100.0,0.10789473684210527,0.26666666666666666,0.02,2.4926739459007337,20.444576176967676,-5.18449090093471,13.979991184238582
100.0,100.0,0.10789473684210527,0.26666666666666666,0.04,2.7815701628751412,20.11180099867882,-6.3045799278231485,14.9060643999888
100.0,100.0,0.10789473684210527,0.26666666666666666,0.06,3.088745075345855,19.603989484952027,-7.522387869942375,15.806440923069184
100.0,100.0,0.10789473684210527,0.26666666666666666,0.08,3.413601804504836,18.934707701369174,-8.83242480869994,16.672945375115983
100.0,100.0,0.10789473684210527,0.26666666666666666,0.1,3.7553877707706533,18.121468818909044,-10.227851408084613,17.498214874515927
100.0,100.0,0.10789473684210527,0.48333333333333334,0.0,2.9917954146127244,27.71583636286998,-3.093509866273146,23.443649441468594
100.0,100.0,0.10789473684210527,0.48333333333333334,0.02,3.483087230076208,27.35411128886942,-4.115612844791338,25.676527772568324
100.0,100.0,0.10789473684210527,0.48333333333333334,0.04,4.018365263015795,26.55245321686439,-5.267312255127834,27.83581534513764
100.0,100.0,0.10789473684210527,0.48333333333333334,0.06,4.59578201485899,25.349775470723976,-6.539231978040835,29.884585211271567
100.0,100.0,0.10789473684210527,0.48333333333333334,0.08,5.2127953968427505,23.80296201861255,-7.918660300752748,31.790566464584348
100.0,100.0,0.10789473684210527,0.48333333333333334,0.1,5.866276206401835,21.98241042236855,-9.390298521388075,33.52751091499267
100.0,100.0,0.10789473684210527,0.7000000000000001,0.0,3.600077970658816,33.343924082043955,-2.569738510082335,33.73997271026941
100.0,100.0,0.10789473684210527,0.7000000000000001,0.02,4.3130540335860275,32.71551382911658,-3.593741766869728,37.535167959270744
100.0,100.0,0.10789473684210527,0.7000000000000001,0.04,5.100262306235457,31.336102574524553,-4.766278171224446,41.1473612347335
100.0,100.0,0.10789473684210527,0.7000000000000001,0.06,5.957134556200863,29.301537681849194,-6.071459802893422,44.488016889988664
100.0,100.0,0.10789473684210527,0.7000000000000001,0.08,6.877486744821894,26.747921542671513,-7.4882484043337065,47.48492381342105
100.0,100.0,0.10789473684210527,0.7000000000000001,0.1,7.853889077186949,23.83657574255753,-8.992203040690896,50.08621595003549
100.0,100.0,0.10789473684210527,0.9166666666666667,0.0,4.119295795552077,38.144900088456154,-2.2448912492249318,43.945322760371965
100.0,100.0,0.10789473684210527,0.9166666666666667,0.02,5.0542509172997185,37.2062530260677,-3.269793489908931,49.5065629759504
100.0,100.0,0.10789473684210527,0.9166666666666667,0.04,6.097191735824893,35.16546473436178,-4.4570541368830465,54.71371692718279
100.0,100.0,0.10789473684210527,0.9166666666666667,0.06,7.23933103023316,32.206072026006765,-5.783508927487414,59.40195028691421
100.0,100.0,0.10789473684210527,0.9166666666666667,0.08,8.468968673666097,28.581178414704528,-7.219213068588983,63.446657721174994
100.0,100.0,0.10789473684210527,0.9166666666666667,0.1,9.772387024449984,24.57782652895524,-8.73061065817288,66.77150707245536
100.0,100.0,0.10789473684210527,1.1333333333333335,0.0,4.579841691126369,42.40066490104344,-2.0182979035713404,54.07142304169507
100.0,100.0,0.10789473684210527,1.1333333333333335,0.02,5.736894326544778,41.1144549073449,-3.043433626143355,61.5604064989256
100.0,100.0,0.10789473684210527,1.1333333333333335,0.04,7.038287366160965,38.34459494603762,-4.241308860689982,68.45566795680139
100.0,100.0,0.10789473684210527,1.1333333333333335,0.06,8.469374700205051,34.39549151777222,-5.580926855227083,74.49173638319299
100.0,100.0,0.10789473684210527,1.1333333333333335,0.08,10.010978262987194,29.674720243552542,-7.023184519369748,79.4842007022723
100.0,100.0,0.10789473684210527,1.1333333333333335,0.1,11.641159195238046,24.62405058252282,-8.52584658293,83.34223398526677
100.0,100.0,0.10789473684210527,1.35,0.0,4.997961417583014,46.26193496570228,-1.8486738144189019,64.12637604313147
100.0,100.0,0.10789473684210527,1.35,0.02,6.377107173509771,44.59519628815581,-2.8735583752862253,73.67551613350518
100.0,100.0,0.10789473684210527,1.35,0.04,7.938910049033886,41.039956248160294,-4.079027798181788,82.31724719605076
100.0,100.0,0.10789473684210527,1.35,0.06,9.661121545628362,36.056222210189105,-5.425845286896029,89.66254723108713
100.0,100.0,0.10789473684210527,1.35,0.08,11.515095179421223,30.241830660479277,-6.865724109624513,95.46575459531415
100.0,100.0,0.10789473684210527,1.35,0.1,13.468860998564438,24.215333579541987,-8.348433789919085,99.64032094336527
100.0,100.0,0.10789473684210527,1.5666666666666667,0.0,5.383549372092993,49.820523283880654,-1.715544334803281,74.11621965852716
100.0,100.0,0.10789473684210527,1.5666666666666667,0.02,6.984691748365535,47.74358067842042,-2.73980407242348,85.8359588432228
100.0,100.0,0.10789473684210527,1.5666666666666667,0.04,8.808285971925592,43.35537909945001,-3.9505220962133762,96.25606686887971
100.0,100.0,0.10789473684210527,1.5666666666666667,0.06,10.822662101959324,37.3071683953467,-5.299926992279493,104.84325660668645
100.0,100.0,0.10789473684210527,1.5666666666666667,0.08,12.98772792620538,30.420257460734476,-6.730686907283758,111.29562480892129
100.0,100.0,0.10789473684210527,1.5666666666666667,0.1,15.259838490566821,23.50470375153478,-8.185410980622917,115.55793623397491
100.0,100.0,0.10789473684210527,1.7833333333333334,0.0,5.743161776293732,53.137280073348094,-1.6074484626221874,84.04568074947142
100.0,100.0,0.10789473684210527,1.7833333333333334,0.02,7.566131832995346,50.62306534485828,-2.6307838061431124,98.02916487632297
100.0,100.0,0.10789473684210527,1.7833333333333334,0.04,9.652442928102708,45.36131454409536,-3.8448596226491976,110.23856948210427
100.0,100.0,0.10789473684210527,1.7833333333333334,0.06,11.959130839467761,38.23058098698752,-5.193164719592125,119.97840854138973
100.0,100.0,0.10789473684210527,1.7833333333333334,0.08,14.4327241360498,30.305694306452807,-6.609582207270496,126.90219767032973
100.0,100.0,0.10789473684210527,1.7833333333333334,0.1,17.016450101415145,22.595692309090566,-8.030481651548808,131.02047474201453
100.0,100.0,0.10789473684210527,2.0,0.0,6.081408481151257,56.25499991453738,-1.5174046029579158,93.91859151884874
100.0,100.0,0.10789473684210527,2.0,0.02,8.125978359713947,53.278582694615196,-2.5395684658426543,110.24488010536923
100.0,100.0,0.10789473684210527,2.0,0.04,10.475559223119966,47.10847521444218,-3.7554364458741505,124.23736559001905
100.0,100.0,0.10789473684210527,2.0,0.06,13.073983409069086,38.88662756705414,-5.099625096125689,135.02364947065414
100.0,100.0,0.10789473684210527,2.0,0.08,15.85253347617342,29.96790360991628,-6.497583753507703,142.23097462705823
100.0,100.0,0.10789473684210527,2.0,0.1,18.740060853051503,21.560920327626707,-7.880404668622125,145.97654424832808
100.0,100.0,0.13684210526315788,0.05,0.0,1.2206688796009786,8.919576608007118,-12.205736410957106,2.469483278009976
100.0,100.0,0.13684210526315788,0.05,0.02,1.2706852899801007,8.910358321464788,-13.20597634941356,2.532136089575419
100.0,100.0,0.13684210526315788,0.05,0.04,1.321953225422,8.891647787909639,-14.243217425595734,2.594624250043974
100.0,100.0,0.13684210526315788,0.05,0.06,1.3744687023909634,8.863504843956276,-15.317261179472654,2.6568787924174244
100.0,100.0,0.13684210526315788,0.05,0.08,1.428226363805102,8.826019332930779,-16.427840850956187,2.7188313655252423
100.0,100.0,0.13684210526315788,0.05,0.1,1.4832194935281606,8.779310627016876,-17.57462239146146,2.7804144509297113
100.0,100.0,0.13684210526315788,0.26666666666666666,0.0,2.8185375522802047,20.58843562492006,-5.28255914060449,12.95752832636264
100.0,100.0,0.13684210526315788,0.26666666666666666,0.02,3.084997327030635,20.475207169035468,-6.280036969703479,13.687064894960137
100.0,100.0,0.13684210526315788,0.26666666666666666,0.04,3.3659499244639335,20.246940636682474,-7.3558495894533085,14.406072489749405
100.0,100.0,0.13684210526315788,0.26666666666666666,0.06,3.6611410094360295,19.90749720277799,-8.507640689892508,15.110204501617538
100.0,100.0,0.13684210526315788,0.26666666666666666,0.08,3.9702312895088596,19.462564560771767,-9.732281376368338,15.795323494251939
100.0,100.0,0.13684210526315788,0.26666666666666666,0.1,4.292801378847628,18.919498398806255,-11.025933043276218,16.457568158325284
100.0,100.0,0.13684210526315788,0.48333333333333334,0.0,3.7939310327659257,27.703975937933265,-3.9217969567310242,23.2498000004149
100.0,100.0,0.13684210526315788,0.48333333333333334,0.02,4.276146085940624,27.428438495111152,-4.9158548804379345,24.96569458344879
100.0,100.0,0.13684210526315788,0.48333333333333334,0.04,4.792254069637615,26.876716567965033,-6.0090409111440835,26.635913371471876
100.0,100.0,0.13684210526315788,0.48333333333333334,0.06,5.341154868319009,26.065585456888385,-7.195771492670396,28.242023783977984
100.0,100.0,0.13684210526315788,0.48333333333333334,0.08,5.921395116863032,25.019285424915374,-8.468737960041208,29.767218781132744
100.0,100.0,0.13684210526315788,0.48333333333333334,0.1,6.531205547381759,23.76831882158431,-9.819169543556747,31.19678552996659
100.0,100.0,0.13684210526315788,0.7000000000000001,0.0,4.565009512939497,33.323260833433665,-3.25716083334314,33.40224667047117
100.0,100.0,0.13684210526315788,0.7000000000000001,0.02,5.262212341763956,32.8443371602176,-4.247579983075697,36.303093333220794
100.0,100.0,0.13684210526315788,0.7000000000000001,0.04,6.0163765964255305,31.891845533860526,-5.350995097081492,39.0905731541647
100.0,100.0,0.13684210526315788,0.7000000000000001,0.06,6.824780999276051,30.50738222256251,-6.55793368789276,41.72010628038812
100.0,100.0,0.13684210526315788,0.7000000000000001,0.08,7.683867452172137,28.749902469827518,-7.856183515033295,44.15287338103096
100.0,100.0,0.13684210526315788,0.7000000000000001,0.1,8.589371789710938,26.69155952141084,-9.23142019871836,46.357295402694795
100.0,100.0,0.13684210526315788,0.9166666666666667,0.0,5.223059883165114,38.11394798888137,-2.8448688451031066,43.43943088688266
100.0,100.0,0.13684210526315788,0.9166666666666667,0.02,6.134447985190995,37.39822350753286,-3.8315288800988774,47.67044939104228
100.0,100.0,0.13684210526315788,0.9166666666666667,0.04,7.128415371619553,35.98439006273581,-4.941149349131901,51.682426424329925
100.0,100.0,0.13684210526315788,0.9166666666666667,0.06,8.199723191715897,33.952632746519484,-6.159896105451437,55.39160929778117
100.0,100.0,0.13684210526315788,0.9166666666666667,0.08,9.341594472021995,31.414409678839185,-7.470212161425695,58.72859379101311
100.0,100.0,0.13684210526315788,0.9166666666666667,0.1,10.546035842956513,28.502338103414115,-8.851981462082474,61.64156364745513
100.0,100.0,0.13684210526315788,1.1333333333333335,0.0,5.8066379121454545,42.358131426228226,-2.5572246526670286,53.376238516450925
100.0,100.0,0.13684210526315788,1.1333333333333335,0.02,6.931387850350532,41.37689106647014,-3.540047841251486,59.05018893474784
100.0,100.0,0.13684210526315788,1.1333333333333335,0.04,8.166194974622371,39.45163910636329,-4.653187776895226,64.35725345290128
100.0,100.0,0.13684210526315788,1.1333333333333335,0.06,9.502317739152716,36.71625525970038,-5.8780948948718414,69.16126745493845
100.0,100.0,0.13684210526315788,1.1333333333333335,0.08,10.928571200844829,33.35322571756126,-7.191605255182032,73.35528929523475
100.0,100.0,0.13684210526315788,1.1333333333333335,0.1,12.431974236501844,29.57354847242095,-8.567808661323884,76.8672983296634
100.0,100.0,0.13684210526315788,1.35,0.0,6.336354065352822,46.20666153253748,-2.3418580893683707,63.222961005886845
100.0,100.0,0.13684210526315788,1.35,0.02,7.673628303729139,44.93447590574315,-3.3207899917806496,70.4301173992305
100.0,100.0,0.13684210526315788,1.35,0.04,9.149815376014637,42.45520077208336,-4.435489137539531,77.07702022918505
100.0,100.0,0.13684210526315788,1.35,0.06,10.751618894732005,38.97249828620111,-5.662421388331541,82.96215863038825
100.0,100.0,0.13684210526315788,1.35,0.08,12.462214438873701,34.75855580275739,-6.972679957449598,87.93626208223526
100.0,100.0,0.13684210526315788,1.35,0.1,14.262392239396092,30.11905416993533,-8.334716144082734,91.9108940393717
100.0,100.0,0.13684210526315788,1.5666666666666667,0.0,6.824761873241364,49.75145127123266,-2.172795744208369,72.98726986596093
100.0,100.0,0.13684210526315788,1.5666666666666667,0.02,8.373712761662247,48.165366535434785,-3.1477964155094442,81.80113194455939
100.0,100.0,0.13684210526315788,1.5666666666666667,0.04,10.091447326457036,45.0951785332511,-4.262542871162708,89.81310619085552
100.0,100.0,0.13684210526315788,1.5666666666666667,0.06,11.95901113538978,40.831137318034415,-5.488311600943241,96.74409076722144
100.0,100.0,0.13684210526315788,1.5666666666666667,0.08,13.95269002270605,35.75353344634182,-6.790411447757306,102.40021093070051
100.0,100.0,0.13684210526315788,1.5666666666666667,0.1,16.045851035660505,30.276982207096037,-8.131921019573607,106.68426604214888
100.0,100.0,0.13684210526315788,1.7833333333333334,0.0,7.280180099581884,53.05342923355403,-2.035498022733504,82.67517274453948
